City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
487,Warri,NG,78.08,light rain,5.5167,5.75,GT Guesthouse
489,Doha,QA,78.78,clear sky,25.2867,51.5333,Mövenpick Doha
492,Leisure City,US,86.02,clear sky,25.4954,-80.4292,Hampton Inn & Suites Homestead Miami South
495,Morondava,MG,77.92,moderate rain,-20.2833,44.2833,La Case Bambou
496,Hambantota,LK,75.54,scattered clouds,6.1241,81.1185,Bungalow 63
497,Batticaloa,LK,77.72,overcast clouds,7.7102,81.6924,Treatooo Hotel
499,Taperoa,BR,82.54,broken clouds,-7.2075,-36.8267,Hotel Casarão Antigo
500,Grajau,BR,76.93,broken clouds,-5.8194,-46.1386,Hotel Confiança
501,Mapiripan,CO,77.31,overcast clouds,2.8892,-72.1256,Monserrate
502,Tres Arroyos,AR,82.71,clear sky,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
503,Vilhena,BR,84.42,scattered clouds,-12.7406,-60.1458,Hotel Mirage
506,Acari,PE,75.0,few clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
510,Ocara,BR,80.17,clear sky,-4.4908,-38.5967,Pousada familiar
515,Vicuna,CL,82.78,overcast clouds,-30.0319,-70.7081,Los Mosaicos
518,Buenos Aires,AR,87.98,clear sky,-34.6132,-58.3772,Hotel NH Buenos Aires City
519,Neuquen,AR,84.09,clear sky,-38.9516,-68.0591,Hotel del Comahue
522,Sao Desiderio,BR,75.09,broken clouds,-12.3633,-44.9733,POUSADA BOM SOSSEGO
523,Palora,EC,80.71,light rain,-1.7,-77.9333,Rancho grande
530,Laje,BR,78.73,overcast clouds,-10.1833,-40.9667,NN Pousada
531,Acarau,BR,79.34,few clouds,-2.8856,-40.12,castelo pizzaria
534,Atar,MR,80.62,clear sky,20.5169,-13.0499,Oumou Elghoura
537,Hukuntsi,BW,79.86,scattered clouds,-24.0,21.75,Its me guest house
538,El Porvenir,HN,87.13,few clouds,13.7617,-87.3458,Campo de Futbol Las Delicias
539,Morant Bay,JM,84.7,clear sky,17.8815,-76.4093,Whispering Bamboo Cove Resort
541,Spring Hill,US,80.64,clear sky,28.4769,-82.5255,Millennium Suites Llc
553,Puerto Leguizamo,CO,75.61,overcast clouds,-0.1934,-74.7819,la casona de juancho
555,Guarapari,BR,76.89,overcast clouds,-20.6667,-40.4975,Hotel Porto do Sol
561,Senador Jose Porfirio,BR,83.28,overcast clouds,-2.5908,-51.9542,Hotel Praia
562,Monrovia,LR,78.55,light rain,6.3005,-10.7969,Sunset Inn
564,Yumbel,CL,80.83,clear sky,-37.0833,-72.5667,Hotel Fuerte Santa LucÍa de Yumbel
576,Maceio,BR,78.24,clear sky,-9.6658,-35.7353,Hotel Ponta Verde Maceió
578,Camoapa,NI,75.42,broken clouds,12.3839,-85.5116,Hotel Las Pérgolas
579,Varzea Alegre,BR,88.47,few clouds,-5.35,-40.3833,Rancho Aconchego
588,Coxim,BR,89.46,overcast clouds,-18.5067,-54.76,Rancho Da Curica
591,Formosa Do Rio Preto,BR,80.02,overcast clouds,-11.0483,-45.1931,Porto Center Hotel
599,Nuevitas,CU,82.92,clear sky,21.5453,-77.2644,Hotel Caonaba
601,Toritama,BR,78.21,scattered clouds,-8.0067,-36.0567,Toritama Golden Hotel
611,Dibulla,CO,83.55,light rain,11.2725,-73.3091,Hospedaje Dibulla Beach
614,Diego De Almagro,CL,76.05,broken clouds,-26.3667,-70.05,hotel luna del desierto
615,Palmas,BR,84.07,few clouds,-10.2128,-48.3603,Hotel Lago da Palma
622,Porto Velho,BR,75.25,heavy intensity rain,-8.7619,-63.9039,Ecos Hotel Conforto
624,Ghanzi,BW,78.85,clear sky,-21.5667,21.7833,Ghanzi Farmhouse
627,Consolacion Del Sur,CU,84.06,few clouds,22.5047,-83.5136,Cuarto de alquiler
628,Trairi,BR,78.98,scattered clouds,-3.2778,-39.2689,janelas do mar
630,Conde,BR,78.26,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
632,San Matias,BO,88.59,broken clouds,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
635,Camacari,BR,80.37,overcast clouds,-12.6975,-38.3242,Sítio Blasi
640,Macau,MO,75.0,few clouds,22.2006,113.5461,Grand Emperor Hotel
648,Manoel Urbano,BR,80.24,heavy intensity rain,-8.8389,-69.2597,Baixada Beira Rio
652,Kintampo,GH,76.17,scattered clouds,8.0563,-1.7306,Adomaa Memorial Hotel
653,Gwadar,PK,77.68,few clouds,25.1216,62.3254,Sadaf Resort
654,Benevides,BR,85.8,overcast clouds,-1.3614,-48.2447,Sítio Taiassui
658,Caucaia,BR,80.55,clear sky,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
661,Chimbarongo,CL,85.08,broken clouds,-34.7,-71.05,Hostal Ruka Kamañ
671,Pozo Colorado,PY,77.86,clear sky,-23.4923,-58.7972,Hospedaje La Norteña
672,Independencia,BR,86.18,few clouds,-5.3964,-40.3086,Pousada Santa Cruz
673,Mamallapuram,IN,77.05,scattered clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
685,Santa Cruz,BO,89.65,few clouds,-17.8,-63.1667,Aviador Hotel Boutique
688,Comodoro Rivadavia,AR,82.26,clear sky,-45.8667,-67.5,Austral Hotel
693,San Luis,AR,83.71,overcast clouds,-33.295,-66.3356,Huarpes Hotel
695,La Palma,US,76.5,few clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
706,Tahoua,NE,75.18,clear sky,14.8888,5.2692,Bungalows Guesthouse
715,Vavoua,CI,75.49,broken clouds,7.3819,-6.4778,Hotel Le Peuple
724,Samana,DO,86.22,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
725,Nampula,MZ,75.15,scattered clouds,-15.1165,39.2666,Ruby Backpackers
726,Mumford,GH,79.74,scattered clouds,5.2618,-0.759,Peace Guest House
728,Itupiranga,BR,80.92,overcast clouds,-5.1347,-49.3267,Hotel Panorama
729,Lucea,JM,85.86,clear sky,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
733,Ico,BR,85.98,scattered clouds,-6.4011,-38.8622,Pousada Emanuella
736,Piste,MX,89.65,broken clouds,20.7,-88.5833,Hotel Villas Arqueologicas Chichen Itza
742,Oussouye,SN,82.49,overcast clouds,12.485,-16.5469,Auberge du Routard
755,San Lorenzo,PY,85.14,clear sky,-25.3333,-57.5333,Canarias Hotel
757,Boundiali,CI,80.33,overcast clouds,9.5217,-6.4869,Hotel Paysan Boundiali
758,Bafoulabe,ML,83.07,overcast clouds,13.8065,-10.8321,Logement du Chargé SIS Abdoul Karim Konaté
759,Luanda,AO,75.2,few clouds,-8.8368,13.2343,EPIC SANA Luanda
767,Limon,CR,82.29,clear sky,10.0,-83.0333,Hotel Playa Bonita
778,El Calvario,GT,81.32,scattered clouds,14.1167,-89.9167,FINCA LOS ABUELOS
782,Sao Geraldo Do Araguaia,BR,77.92,broken clouds,-6.4006,-48.555,Hotel Por do Sol
783,Soto,AR,83.93,broken clouds,-32.8107,-61.4026,Hotel Verdesole
784,Sena Madureira,BR,82.44,moderate rain,-9.0656,-68.6569,Hotel Central
788,Camocim,BR,79.3,few clouds,-2.9022,-40.8411,Ilha Praia Hotel
790,Sao Gabriel Da Cachoeira,BR,78.01,light rain,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
