City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
254,Puerto Ayora,EC,-0.7393,-90.3518,70.56,86,66,5.01,broken clouds
255,Inhambane,MZ,-23.865,35.3833,69.06,71,0,3.2,clear sky
256,Bud,US,39.447,-86.1758,41.02,83,100,6.44,overcast clouds
257,Kavaratti,IN,10.5669,72.642,81.34,74,98,5.84,overcast clouds
258,Aksarka,RU,66.5606,67.7975,-9.99,89,24,6.33,few clouds
259,Brae,GB,60.3964,-1.353,50.92,87,100,43.37,light rain
260,Salaga,GH,8.5508,-0.5188,80.19,24,11,2.73,few clouds
261,Areosa,PT,41.7178,-8.8571,58.42,86,100,11.41,overcast clouds
262,Wolbrom,PL,50.3796,19.7583,48.02,73,100,3.89,overcast clouds
263,Turbat,PK,26.0023,63.044,74.59,77,0,2.64,clear sky
264,Surt,LY,31.2089,16.5887,68.18,52,0,6.8,clear sky
265,Quelimane,MZ,-17.8786,36.8883,74.93,87,30,5.39,scattered clouds
266,San Pedro,PH,14.35,121.0167,78.03,92,75,2.3,light rain
267,Tambacounda,SN,13.7539,-13.7586,82.45,57,0,4.61,clear sky
268,Urumqi,CN,43.801,87.6005,29.35,86,97,4.47,mist
269,Praia Da Vitoria,PT,38.7333,-27.0667,65.75,97,17,11.07,few clouds
270,Lunavada,IN,23.1333,73.6167,70.16,40,0,5.26,clear sky
271,Cajamarca,PE,-7.1638,-78.5003,68.07,45,75,1.14,broken clouds
272,Nkpor,NG,6.1516,6.8446,78.17,59,87,3.53,overcast clouds
273,Tanda,IN,26.55,82.65,65.68,55,0,6.85,clear sky
274,Ravar,IR,31.2656,56.8055,55.63,44,0,1.45,clear sky
275,Touros,BR,-5.1989,-35.4608,78.42,73,25,13.53,scattered clouds
276,Shetpe,KZ,44.1667,52.1167,31.26,69,34,5.08,scattered clouds
277,Igarka,RU,67.4667,86.5833,-22.49,92,18,7.67,few clouds
278,Birao,CF,10.2849,22.7882,73.27,27,85,5.23,overcast clouds
279,Castenaso,IT,44.5089,11.4698,50.88,98,75,2.3,mist
280,Alekseyevka,RU,50.6309,38.6903,31.42,60,100,8.75,overcast clouds
281,Nizhneivkino,RU,58.194,49.5214,16.86,90,73,4.09,broken clouds
282,Inirida,CO,3.8653,-67.9239,84.27,76,100,1.21,overcast clouds
283,Breyten,ZA,-26.3018,29.987,56.97,66,29,2.1,scattered clouds
284,Staryy Nadym,RU,65.6118,72.6842,-12.96,94,13,6.04,few clouds
285,Camacha,PT,33.0833,-16.3333,65.62,77,20,5.75,few clouds
286,Timmins,CA,48.4669,-81.3331,21.02,93,100,5.75,overcast clouds
287,Amos,CA,48.5669,-78.1162,25.59,74,100,5.28,overcast clouds
288,Pangnirtung,CA,66.1451,-65.7125,0.16,94,99,2.48,overcast clouds
289,Madison,US,34.7334,-86.5667,49.44,89,100,6.91,overcast clouds
290,Ayagoz,KZ,47.9714,80.4392,30.88,82,53,12.21,broken clouds
291,Nanortalik,GL,60.1432,-45.2371,28.47,85,100,16.28,light snow
292,Decatur,US,39.8403,-88.9548,35.87,93,100,6.91,overcast clouds
293,Carutapera,BR,-1.195,-46.02,79.9,71,28,9.17,scattered clouds
294,Ostrovnoy,RU,68.0531,39.5131,37.94,79,100,19.98,light rain
295,Talnakh,RU,69.4865,88.3972,-13.0,99,93,4.21,overcast clouds
296,Chikwawa,MW,-16.0335,34.8009,76.06,79,19,4.56,few clouds
297,Manati,PR,18.4275,-66.4921,83.86,86,16,11.9,few clouds
298,Asosa,ET,10.0667,34.5333,64.6,57,1,3.62,clear sky
299,Iranshahr,IR,27.2025,60.6848,68.34,40,0,4.61,clear sky
300,Henties Bay,NA,-22.116,14.2845,60.37,85,0,9.26,clear sky
301,Paranaiba,BR,-19.6772,-51.1908,90.21,33,3,2.15,clear sky
302,Antigonish,CA,45.6169,-61.9986,37.81,89,94,4.0,overcast clouds
303,Senneterre,CA,48.3835,-77.2328,25.47,68,100,6.06,overcast clouds
304,Tartagal,AR,-22.5164,-63.8013,94.05,25,6,8.63,clear sky
305,Malanje,AO,-9.5402,16.341,63.75,72,96,3.33,overcast clouds
306,Wladyslawowo,PL,54.7909,18.4009,44.94,79,100,15.99,overcast clouds
307,Safaga,EG,26.7292,33.9365,71.2,52,0,13.09,clear sky
308,Lagos,NG,6.5833,3.75,80.92,84,72,4.29,broken clouds
309,Walvis Bay,NA,-22.9575,14.5053,60.1,82,0,4.61,clear sky
310,Marsa Matruh,EG,31.3525,27.2453,65.07,60,0,7.81,clear sky
311,Codrington,AU,-38.2667,141.9667,49.82,67,87,13.31,overcast clouds
