City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
132,Sept-Iles,CA,2022-11-15 02:41:34,50.2001,-66.3821,26.6,71,75,9.22
133,Tupik,RU,2022-11-15 02:43:47,54.4253,119.9327,15.1,92,100,3.06
134,Rio Gallegos,AR,2022-11-15 02:43:48,-51.6226,-69.2181,55.45,62,20,23.02
135,Salta,AR,2022-11-15 02:39:04,-24.7859,-65.4117,62.58,64,0,3.44
136,Varzea Alegre,BR,2022-11-15 02:43:48,-5.35,-40.3833,78.21,68,46,6.17
137,Aklavik,CA,2022-11-15 02:43:49,68.2191,-135.0107,15.91,89,100,19.8
138,San Vicente,AR,2022-11-15 02:43:49,-26.6167,-54.1333,53.44,84,0,1.54
139,San Andres,CO,2022-11-15 02:43:49,12.5847,-81.7006,82.42,83,20,13.8
140,Taltal,CL,2022-11-15 02:40:21,-25.4,-70.4833,62.6,76,18,3.58
141,Hamilton,US,2022-11-15 02:43:42,39.1834,-84.5333,36.88,72,0,9.22
142,Sisimiut,GL,2022-11-15 02:36:41,66.9395,-53.6735,21.97,92,100,11.3
143,San Patricio,US,2022-11-15 02:43:50,28.017,-97.5169,62.89,89,47,6.85
144,Innisfail,AU,2022-11-15 02:43:50,-17.5333,146.0333,85.12,60,86,9.42
145,Bitburg,DE,2022-11-15 02:43:51,49.9667,6.5333,52.54,100,100,14.97
146,Qandala,SO,2022-11-15 02:43:51,11.472,49.8728,75.42,67,45,4.76
147,Alice Springs,AU,2022-11-15 02:35:10,-23.7,133.8833,80.15,26,13,6.91
148,Dongargaon,IN,2022-11-15 02:43:52,20.9667,80.85,67.62,48,5,3.47
149,Hobart,AU,2022-11-15 02:43:52,-42.8794,147.3294,49.86,81,100,19.57
150,Formosa,AR,2022-11-15 02:43:24,-26.1775,-58.1781,69.78,73,0,3.44
151,Cidreira,BR,2022-11-15 02:43:52,-30.1811,-50.2056,64.87,74,1,8.86
152,Ostrovnoy,RU,2022-11-15 02:43:53,68.0531,39.5131,29.55,82,88,5.79
153,El Alto,PE,2022-11-15 02:43:53,-4.2714,-81.2147,62.26,87,22,14.41
154,Ponta Do Sol,PT,2022-11-15 02:43:53,32.6667,-17.1,67.71,70,94,2.1
155,Tirana,AL,2022-11-15 02:43:43,41.3275,19.8189,54.48,94,75,5.75
156,Vestmannaeyjar,IS,2022-11-15 02:42:44,63.4427,-20.2734,45.68,83,100,11.61
157,Erzin,TR,2022-11-15 02:43:54,36.9559,36.2,61.12,48,6,4.81
158,Kargat,RU,2022-11-15 02:43:54,55.1956,80.2811,35.08,99,100,15.21
159,Chuy,UY,2022-11-15 02:43:55,-33.6971,-53.4616,61.23,94,100,11.86
160,Takoradi,GH,2022-11-15 02:38:01,4.8845,-1.7554,78.15,84,52,6.51
161,Yellowknife,CA,2022-11-15 02:42:30,62.456,-114.3525,27.12,93,100,16.11
162,Butterworth,MY,2022-11-15 02:43:55,5.3991,100.3638,80.64,93,20,3.44
163,Ballina,AU,2022-11-15 02:43:56,-28.8667,153.5667,86.77,42,1,13.65
164,Cherskiy,RU,2022-11-15 02:43:56,68.75,161.3,-28.71,100,95,6.04
165,Harer,ET,2022-11-15 02:43:56,9.3094,42.1258,54.5,40,0,5.5
166,Talnakh,RU,2022-11-15 02:43:57,69.4865,88.3972,-23.48,90,21,4.21
167,Esil,KZ,2022-11-15 02:43:57,51.9556,66.4042,27.14,95,100,18.88
168,Dzhida,RU,2022-11-15 02:43:57,50.6772,106.1806,21.65,74,77,5.28
169,Klaksvik,FO,2022-11-15 02:43:58,62.2266,-6.589,49.12,87,100,34.72
170,Chokurdakh,RU,2022-11-15 02:43:58,70.6333,147.9167,-15.68,99,100,10.38
171,Lexington,US,2022-11-15 02:40:28,37.9887,-84.4777,39.2,68,0,12.66
172,Berlevag,NO,2022-11-15 02:43:58,70.8578,29.0864,39.2,81,75,17.27
173,Bethel,US,2022-11-15 02:40:53,41.3712,-73.414,35.96,68,0,0.0
174,Weligama,LK,2022-11-15 02:43:59,5.9667,80.4167,77.04,84,100,7.38
175,Tiksi,RU,2022-11-15 02:43:59,71.6872,128.8694,-10.77,91,100,12.77
176,Vredendal,ZA,2022-11-15 02:44:00,-31.6683,18.5012,56.64,87,3,4.9
177,Mount Isa,AU,2022-11-15 02:44:00,-20.7333,139.5,83.97,24,0,10.36
178,Tomatlan,MX,2022-11-15 02:44:00,19.9333,-105.25,70.23,92,47,2.64
